Customer_Acc,Transaction_ID,Timestamp,Amount,Type,Channel,Counterparty_Name,Counterparty_Account
CACC_tektXwA,TXN_dSds2GEj0q8,2024-08-31T08:33:26Z,644908.63,credit,Other,Chong Ong,CACC_ZEPh6VE
CACC_tektXwA,TXN_U2DcXzVd4rD,2024-11-09T19:48:14Z,809955.48,debit,QR POS,Fatimah Ahmad,CACC_H4quX1S
CACC_tektXwA,TXN_hycU9rXA0DB,2025-01-15T21:17:59Z,987940.14,debit,DuitNOW,Online Baroena,CACC_wZW3Gor
CACC_tektXwA,TXN_hTrCs1TxMpO,2025-04-22T09:28:31Z,609468.43,debit,QR P2P,Syafiq Gopal,CACC_hKq329v
CACC_tektXwA,TXN_ZuV1wXSwfFP,2024-11-29T15:07:10Z,868252.3,debit,Other,Daniel Gopal,CACC_5AWZghh
CACC_tektXwA,TXN_mbFID4aaHbZ,2024-11-15T18:28:05Z,432382.06,debit,QR P2P,Siti Subramaniam,CACC_zOrADjR
CACC_tektXwA,TXN_ZsRc6kabWbR,2025-09-03T09:48:49Z,48817.55,credit,Other,Adam Rahman,CACC_fS3BizQ
CACC_tektXwA,TXN_e8NwTgQ68PE,2024-04-13T21:17:47Z,705155.43,credit,QR POS,Chong Kaur,CACC_A8naAOz
CACC_tektXwA,TXN_o4YLivPwykZ,2025-05-28T06:07:25Z,303652.29,credit,DuitNOW,Suresh Doe,CACC_iQ78hfM
CACC_tektXwA,TXN_QJIzkXbCQUL,2025-07-13T21:09:35Z,225325.28,credit,DuitNOW,John Hashim,CACC_2q2kxf3
CACC_tektXwA,TXN_tSxlt517uli,2025-09-08T02:54:02Z,114533.87,debit,DuitNOW,Bengkel Hebat,CACC_68I4qiy
CACC_tektXwA,TXN_toua9muAt8H,2024-12-15T14:55:00Z,344102.76,credit,Credit Transfer,Aisha Gopal,CACC_IEFRfXJ
CACC_tektXwA,TXN_358AgDlUaFt,2025-08-16T14:43:07Z,925849.59,credit,Credit Transfer,Mei Ling Doe,CACC_kSd2jOg
CACC_tektXwA,TXN_Y7L5KH9rH50,2025-03-25T09:29:59Z,503982.57,credit,Other,Farid Ahmad,CACC_rj2xYXC
CACC_SVx0Wti,TXN_VZePfzaspxy,2024-05-21T20:43:04Z,761971.98,credit,Other,Hana Mohamed,CACC_LyMb4s5
CACC_SVx0Wti,TXN_YU4VM5VgUpe,2024-10-08T16:52:22Z,322387.49,debit,DuitNOW,Warung Sentosa,CACC_d0SYCRq
CACC_SVx0Wti,TXN_E82ajr50O5t,2025-04-05T08:53:05Z,73804.7,debit,QR P2P,Liyana Singh,CACC_s70pRZm
