cust_id,Customer_Acc,Stated_Occupation,Account_Type,Age,Account_Tenure_Months,Balance,Average_Balance
cust_18032585,acc_85364412611056,"Sales, Marketing & Public Relations",Al-AWFAR,94,144,3997,3359
cust_79656044,acc_54472748186568,Production and Manufacturing Managers,GIA AWFAR,69,131,96379,87118
cust_68911436,acc_20427105190174,"FINANCE, INSURANCE, REAL ESTATE AND",GIA,94,31,14919,10387
cust_49499059,acc_16485323236564,Religious Professionals,GIA AWFAR,15,83,3352,2806
cust_48971371,acc_85779388993551,NON-EXECUTIVE,GIA,57,23,28893,16565
cust_87273812,acc_15001112521619,Renting of machinery&equipment w/o,GIA,80,183,98865,90955
cust_17735107,acc_35255029252029,Aircraft Pilots & Related Professionals,WAFIYAH,67,182,3137,2699
cust_72763122,acc_40071703645139,HEALTH AND SOCIAL WORK,GIA,89,65,7375,5931
cust_28132258,acc_25569500067243,EDUCATION,IHSAN,51,74,1515,1255
cust_18475961,acc_38250403282179,Manufacture of Tobacco Products,STDT,71,79,45834,39425
cust_57383108,acc_76842331005257,Religious Teachers,GIA AWFAR,47,214,24458,21517
cust_97806011,acc_11321455920406,DOCTOR VETERINAR,Al-AWFAR,88,120,33399,28717
cust_76217713,acc_84445608206861,Extra-Territorial Organisations and,GIA,20,184,11515,10359
cust_78502573,acc_87089322121710,Service and Sales Workers,GIA,32,110,6671,6032
cust_74572954,acc_43503541587239,FIRE FIGHTER,Al-AWFAR,18,169,9205,8468
cust_80745787,acc_23825160915457,Physical & Engineering Scien Technicians,WAFIYAH,73,129,34679,29112
cust_56190391,acc_64075636715057,AUDITOR,Al-AWFAR,30,70,46100,38298
cust_21530226,acc_20770530027840,CONSULTANT,STDT,38,211,100245,86795
cust_85577340,acc_42842742497042,Household,STDT,85,172,63633,58542
cust_50534734,acc_96258626281087,COMPANY DIRECTOR,GIA AWFAR,42,186,87539,76045
cust_55031672,acc_99591802532527,Service and Sales Workers,GIA AWFAR,23,228,77004,67669
cust_43371822,acc_79489440221912,GENERAL WORKER,Al-AWFAR,11,63,3865,3040
cust_26429467,acc_37986535892868,Scheduled air transport,IHSAN,30,26,3815,2405
cust_93408848,acc_71889854424948,Motor Vehicle Mechanics and Repaire,WAFIYAH,92,142,34326,30860
cust_80341071,acc_73486572893561,"PUBLIC ADMINISTRATION & DEFENSE,",STDT,59,81,34106,29213
cust_67947860,acc_44905752564728,SECTOR N.E.C,GIA AWFAR,99,107,70933,61830
cust_46217292,acc_67679977112754,Religious Teachers,GIA AWFAR,29,60,42309,31994
cust_84048545,acc_10965488047810,NURSE,GIA AWFAR,41,99,45147,40030
cust_59088620,acc_28815189274201,Managers,WAFIYAH,24,97,2788,2401
cust_49907277,acc_57257947267053,Vocational Education Teachers,iGain,45,87,23356,20688
cust_50541359,acc_24737617383246,Religious Professionals,IHSAN,60,180,12188,10665
cust_30451484,acc_24931618108888,Administrative Associate Profession,Al-AWFAR,82,144,3370,2837
cust_18292232,acc_85267386149521,EDITOR/WRITER,IHSAN,43,116,1931,1693
cust_59912630,acc_99021970241524,"Recreational, cultural and sporting",Al-AWFAR,79,31,2393,1690
cust_89910085,acc_60037248522560,Manufacture of Other Non-metallic,GIA,66,139,5530,4939
cust_15743553,acc_85516275779354,Engineering Prof(incl Electrotechno,GIA AWFAR,36,46,193899,143630
cust_87246216,acc_99128949789364,Landscape Architects,Al-AWFAR,92,79,12350,10035
cust_84486805,acc_22743629971189,"Retail trade,except of motor",GIA AWFAR,49,102,29010,26621
cust_34908372,acc_50342105192891,Managing Directors and Chief Executives,Al-AWFAR,23,38,5514,3736
cust_66849795,acc_45331544425772,FIRE FIGHTER,iGain,96,96,74314,62425
cust_24870617,acc_17204435528156,"Skilled Agricultural, Forestry, Livestock and Fishery Workers",iGain,92,67,5072,4217
cust_78227896,acc_77979715551527,SECRETARY,IHSAN,14,205,3260,2764
cust_73047066,acc_49040112459033,LAWYER/SOLICITOR,Al-AWFAR,91,207,5697,5241
cust_41907337,acc_52239424077136,Motor Vehicle Mechanics and Repaire,iGain,95,6,2594,1175
cust_16112800,acc_23560567643191,Clerical Support Workers,STDT,84,147,88052,80806
cust_97362822,acc_26283398700778,Manufacture of Tobacco Products,GIA,32,156,5027,4572
cust_50111873,acc_91639325994059,Household,STDT,66,94,86352,73810
cust_90380900,acc_14018418007685,TECHNICIAN,GIA,58,115,11717,9907
cust_71012711,acc_30956705644933,Accountants,IHSAN,65,191,7842,7003
cust_80054514,acc_36285339728307,Manufacture of Tobacco Products,WAFIYAH,65,94,34218,28412
cust_78390949,acc_54117778816142,EDUCATION,STDT,67,20,97875,58629
cust_27517483,acc_62780065571331,Landscape Architects,iGain,56,92,2189,1929
cust_42751542,acc_54396097826559,"Mining,Manufacturing & Construction Prof",GIA AWFAR,72,64,82336,70096
cust_52004890,acc_17570380110119,TANNING&DRESSING OF LEATHER;MFR OF,iGain,57,95,77144,67258
cust_54801238,acc_31930070865014,Landscape Architects,Al-AWFAR,11,59,4895,4018
cust_13942338,acc_85922954628628,Clerical Support Workers,WAFIYAH,13,40,5501,3905
cust_59191255,acc_67382983043061,CLERK,IHSAN,96,237,10055,8897
cust_23886054,acc_68423414512084,ACCOUNTANT,IHSAN,91,35,904,638
cust_76903831,acc_70318292981621,LAWYER/SOLICITOR,iGain,62,171,22876,20214
cust_71474405,acc_78661271713557,"OTHER COMMUNITY, SOCIAL & PERSONAL",iGain,25,174,32409,29287
cust_93027505,acc_15229763354930,SECRETARY,TDT,80,150,2293,1971
cust_42997839,acc_42994754643935,Hospitality & Rel Services Professi,GIA AWFAR,22,220,52537,45829
cust_97075875,acc_58557469173551,FIRE FIGHTER,IHSAN,43,6,4186,1898
